"('0', '1', '1', '2')"
"('0', '2', '149', '27')"
"('0', '2', '149', '29')"
"('0', '2', '149', '30')"
"('0', '2', '149', '6')"
"('0', '2', '151', '0')"
"('0', '2', '152', '0')"
"('0', '2', '153', '0')"
"('0', '2', '153', '1')"
"('0', '3', '154', '6')"
"('0', '3', '154', '9')"
"('0', '3', '155', '0')"
"('0', '4', '154', '18')"
"('0', '4', '154', '31')"
"('0', '7', '3', '0')"
"('0', '7', '4', '0')"
"('0', '7', '4', '66')"
"('0', '7', '5', '66')"
"('1', '0', '0', '0')"
"('1', '0', '154', '39')"
"('1', '0', '154', '42')"
"('1', '0', '154', '43')"
"('1', '0', '154', '46')"
"('1', '0', '154', '48')"
"('1', '0', '154', '50')"
"('1', '0', '154', '53')"
"('1', '0', '154', '55')"
"('1', '0', '154', '59')"
"('1', '0', '156', '0')"
"('1', '5', '0', '1')"
"('1', '5', '0', '10')"
"('1', '5', '0', '11')"
"('1', '5', '0', '12')"
"('1', '5', '0', '13')"
"('1', '5', '0', '2')"
"('1', '5', '0', '3')"
"('1', '5', '0', '4')"
"('1', '5', '0', '5')"
"('1', '5', '0', '6')"
"('1', '5', '0', '7')"
"('1', '5', '0', '8')"
"('1', '5', '0', '9')"
"('1', '8', '0', '1')"
"('1', '8', '0', '10')"
"('1', '8', '0', '11')"
"('1', '8', '0', '12')"
"('1', '8', '0', '13')"
"('1', '8', '0', '2')"
"('1', '8', '0', '3')"
"('1', '8', '0', '4')"
"('1', '8', '0', '5')"
"('1', '8', '0', '6')"
"('1', '8', '0', '7')"
"('1', '8', '0', '8')"
"('1', '8', '0', '9')"
"('1', '8', '1', '1')"
"('1', '8', '1', '10')"
"('1', '8', '1', '11')"
"('1', '8', '1', '12')"
"('1', '8', '1', '13')"
"('1', '8', '1', '14')"
"('1', '8', '1', '15')"
"('1', '8', '1', '16')"
"('1', '8', '1', '17')"
"('1', '8', '1', '18')"
"('1', '8', '1', '19')"
"('1', '8', '1', '2')"
"('1', '8', '1', '20')"
"('1', '8', '1', '21')"
"('1', '8', '1', '22')"
"('1', '8', '1', '3')"
"('1', '8', '1', '4')"
"('1', '8', '1', '5')"
"('1', '8', '1', '6')"
"('1', '8', '1', '7')"
"('1', '8', '1', '8')"
"('1', '8', '1', '9')"
"('1', '9', '0', '1')"
"('1', '9', '0', '10')"
"('1', '9', '0', '11')"
"('1', '9', '0', '12')"
"('1', '9', '0', '13')"
"('1', '9', '0', '14')"
"('1', '9', '0', '15')"
"('1', '9', '0', '16')"
"('1', '9', '0', '17')"
"('1', '9', '0', '18')"
"('1', '9', '0', '19')"
"('1', '9', '0', '2')"
"('1', '9', '0', '3')"
"('1', '9', '0', '4')"
"('1', '9', '0', '5')"
"('1', '9', '0', '6')"
"('1', '9', '0', '7')"
"('1', '9', '0', '8')"
"('1', '9', '0', '9')"
"('1', '9', '1', '1')"
"('1', '9', '1', '10')"
"('1', '9', '1', '11')"
"('1', '9', '1', '12')"
"('1', '9', '1', '13')"
"('1', '9', '1', '15')"
"('1', '9', '1', '16')"
"('1', '9', '1', '2')"
"('1', '9', '1', '3')"
"('1', '9', '1', '4')"
"('1', '9', '1', '5')"
"('1', '9', '1', '6')"
"('1', '9', '1', '7')"
"('1', '9', '1', '8')"
"('1', '9', '1', '9')"
"('1', '9', '2', '1')"
"('1', '9', '2', '10')"
"('1', '9', '2', '11')"
"('1', '9', '2', '12')"
"('1', '9', '2', '13')"
"('1', '9', '2', '14')"
"('1', '9', '2', '15')"
"('1', '9', '2', '16')"
"('1', '9', '2', '17')"
"('1', '9', '2', '18')"
"('1', '9', '2', '19')"
"('1', '9', '2', '2')"
"('1', '9', '2', '20')"
"('1', '9', '2', '21')"
"('1', '9', '2', '22')"
"('1', '9', '2', '23')"
"('1', '9', '2', '24')"
"('1', '9', '2', '25')"
"('1', '9', '2', '28')"
"('1', '9', '2', '3')"
"('1', '9', '2', '4')"
"('1', '9', '2', '6')"
"('1', '9', '2', '7')"
"('1', '9', '2', '8')"
"('1', '9', '2', '9')"
"('104', '0', '0', '0')"
"('12', '9', '1', '11')"
"('127', '0', '0', '1')"
"('19', '77', '34', '5')"
"('2', '0', '0', '0')"
"('2', '0', '0', '1')"
"('2', '0', '0', '10')"
"('2', '0', '0', '11')"
"('2', '0', '0', '12')"
"('2', '0', '0', '13')"
"('2', '0', '0', '14')"
"('2', '0', '0', '15')"
"('2', '0', '0', '16')"
"('2', '0', '0', '17')"
"('2', '0', '0', '18')"
"('2', '0', '0', '19')"
"('2', '0', '0', '2')"
"('2', '0', '0', '20')"
"('2', '0', '0', '21')"
"('2', '0', '0', '22')"
"('2', '0', '0', '3')"
"('2', '0', '0', '4')"
"('2', '0', '0', '45')"
"('2', '0', '0', '5')"
"('2', '0', '0', '6')"
"('2', '0', '0', '7')"
"('2', '0', '0', '8')"
"('2', '0', '0', '9')"
"('2', '0', '156', '0')"
"('2', '0', '156', '1')"
"('2', '0', '157', '0')"
"('2', '0', '157', '2')"
"('2', '0', '160', '0')"
"('2', '0', '162', '0')"
"('2', '0', '164', '0')"
"('2', '0', '168', '0')"
"('2', '0', '169', '0')"
"('2', '0', '170', '0')"
"('2', '0', '171', '0')"
"('2', '0', '172', '0')"
"('2', '0', '172', '2')"
"('2', '0', '172', '23')"
"('2', '0', '172', '39')"
"('2', '0', '172', '40')"
"('2', '0', '172', '42')"
"('2', '0', '172', '43')"
"('2', '0', '172', '6')"
"('2', '0', '172', '8')"
"('2', '0', '173', '0')"
"('2', '0', '173', '1')"
"('2', '0', '174', '0')"
"('2', '0', '175', '0')"
"('2', '0', '176', '0')"
"('2', '0', '177', '0')"
"('2', '0', '177', '1')"
"('2', '0', '178', '0')"
"('2', '0', '182', '0')"
"('2', '0', '9', '9')"
"('3', '0', '191', '0')"
"('3', '0', '191', '3')"
"('3', '0', '193', '0')"
"('3', '0', '193', '2')"
"('3', '0', '194', '0')"
"('3', '0', '195', '1')"
"('3', '0', '195', '10')"
"('3', '0', '195', '17')"
"('3', '0', '195', '20')"
"('3', '0', '195', '21')"
"('3', '0', '195', '24')"
"('3', '0', '195', '27')"
"('3', '0', '195', '3')"
"('3', '0', '195', '33')"
"('3', '0', '195', '4')"
"('3', '0', '195', '6')"
"('3', '0', '196', '0')"
"('3', '0', '196', '2')"
"('3', '0', '197', '0')"
"('3', '0', '197', '11')"
