"('0xdeadbeef.', '', '')"
"('29ABE9Hy.', '', '')"
"('400xdea-blue.', '', '-blue')"
"('40raptor-purple.', '', '-purple')"
"('args.', '', '')"
"('bindsight.', '', '')"
"('blindsight.', '', '')"
"('blogspot.', '', '')"
"('buf.', '', '')"
"('crates.', '', '')"
"('data.', '', '')"
"('dependencies.', '', '')"
"('github.', '', '')"
"('humanativaspa.', '', '')"
"('infosec.', '', '')"
"('ired.', '', '')"
"('key.', '', '')"
"('lints.', '', '')"
"('lsass.', '', '')"
"('mitre.', '', '')"
"('of0x.', '', '')"
"('proc.', '', '')"
"('profile.', '', '')"
"('shields.', '', '')"
"('synacktiv.', '', '')"
"('the-hidden-side-of-seclogon-part-3.', '', '-3')"
"('twitter.', '', '')"
