"('2009', '07', '16')"
"('2010', '04', '10')"
"('2011', '08', '13')"
"('2013', '04', '29')"
"('2014', '06', '10')"
"('2014', '07', '08')"
"('2015', '02', '02')"
"('2015', '04', '14')"
"('2015', '07', '23')"
"('2015', '08', '04')"
"('2015', '12', '01')"
"('2016', '01', '14')"
"('2016', '12', '06')"
"('2017', '01', '26')"
"('2017', '01', '27')"
"('2017', '02', '22')"
"('2017', '05', '30')"
"('2017', '06', '19')"
"('2017', '08', '13')"
"('2017', '09', '26')"
"('2019', '06', '05')"
"('2019', '07', '19')"
"('2020', '04', '08')"
"('2020', '09', '10')"
"('2021', '01', '14')"
"('2021', '01', '26')"
"('2021', '02', '08')"
"('2022', '01', '25')"
